Manuscript Identifier	COI	Funding
PONE-D-15-11791	Zhiyuan Gong is a PLOS ONE Editorial Board member (Academic Editor). This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials.	"This work was supported by a grant from National Medical Research Council of Singapore. The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11810	"The authors have read the journal's policy and have the following competing interests: Dr. T. G. van Tienen and Dr. P. Buma have published and issued patents related to the implant evaluated in this study. Published patent: Non-resorbable meniscus prosthesis for the human knee joint, patent number: WO 2011138045 A1. Issued patents: Meniscus prosthesis enclosed by a fibrous structure, provisional patent number: EP13189646.6; Joint prosthesis assembly, provisional patent number: EP13188641.8. The other authors have no competing interests. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This research forms part of the Project P2.03 TRAMMPOLIN of the research program of the BioMedical Materials institute, co-funded by the Dutch Ministry of Economic Affairs (www.bmm-program.nl). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11816	The authors have declared that no competing interests exist.	"This study was supported by a grant from the Korea Healthcare Technology Research & Development Project, Ministry for Health, Welfare & Family Affairs, Republic of Korea (Nos. A085136 and A102064), the Mid-career Researcher Program through NRF grant funded by the MEST, Republic of Korea (No. 2015R1A2A2A01002731) and the Cardiovascular Research Center, Seoul, Korea."
PONE-D-15-11823	The authors have declared that no competing interests exist.	"This work was supported by Israel Foundation (ISF), Grant No. 625/08; The Office of Chief Scientist (Grant No. 6267-1); Ministry of Health, Israel Manlam Office, Hedson fund for medical research Science, Technion, The Israel Institute of Technology and The Rappaport Family Institute for Research in the Medical Sciences, Technion, Israel Institute of Technology, Haifa. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11833	Novo Nordisk A/S provided support in the form of salaries for authors KR and GR. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	"Novo Nordisk A/S provided support in the form of salaries for authors KR and GR, and had an additional role in the study design, data collection and analysis, decision to publish and preparation of the manuscript."
PONE-D-15-11845	The authors have declared that no competing interests exist.	"This research was supported by funding from the Howard Hughes Medical Institute to PAB and by  National Insitutes of Health Award 5R01GM102498 to PAB. PAB is an investigator of the Howard Hughes Medical Institute. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11847	The authors have declared that no competing interests exist.	"Funded by grants FONDECYT 1130414 to RSM, 3150548 to WG and 1121121 to CQ from Comisión Nacional de Ciencia y Tecnología-Chile (CONICYT-Chile), www.conicyt.cl. Funded by grant S-2013-15 to CO from Universidad Austral de Chile, www.uach.cl. Funded by grant SAF2011-23660 to MPA from Ministerio de Economía de España, www.mineco.gob.es. SA hold doctoral fellowship from Comisión Nacional de Ciencia y Tecnología-Chile (CONICYT-Chile), www.conicyt.cl. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-11866	The authors have declared that no competing interests exist.	"Funding provided by Retina France 2012 (CC) http://www.retina.fr/retinaDrupal/content/projets-et-bourses-financés-en-2012, Fondation de France, bourse Berthe Fouassier (MM) http://www.fondationdefrance.org/La-Fondation-de-France/Fonds-et-fondations-sous-egide/Toutes-les-fondations/Berthe-Fouassier and PHC Germaine de Stael 2012, projet n° 26419NE (CC, MHG), PHC Germaine de Stael 2013, projet n°777772H (CC, MHG) http://www.campusfrance.org/fr/stael.  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-11873	All Authors are or were Cerenis Employees. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	"Cerenis Therapeutics provided support in the form of salaries for authors (All), but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript.  The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-11878	The authors have declared that no competing interests exist.	"This work was supported by the Deutsche Forschungsgemeinschaft (SFB1054, B4 SFB1123, A1, A6 and B5; LMUexcellent) and the German Centre for Cardiovascular Research (MHA VD1.2). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11911	The authors have declared that no competing interests exist.	These authors have no support or funding to report.
PONE-D-15-11919	The authors have declared that no competing interests exist.	"This project has been supported by NIH grants R01 CA155365 (JRG), R01 CA174966 (DEH), and R01 CA140220 (DEH), and funding from the Alvin J. Siteman Comprehensive Cancer Center (P30), P30 CA091842, the Barnes-Jewish Hospital Foundation Cancer Frontier Fund, Mallinckrodt Institute of Radiology, and Elekta Instruments AB (Stockholm, Sweden)."
PONE-D-15-11920	The authors have declared that no competing interests exist.	The research was funded by a European Research Council starting grant (ERC-StG 312511) to CK (http://erc.europa.eu/starting-grants).
PONE-D-15-11932	The authors have declared that no competing interests exist.	"This work was supported by a New Initiative Grant (Center for Host Parasite Interactions, FQRNT). "
PONE-D-15-11935	The authors have declared that no competing interests exist.	The authors received no specific funding for this work.
PONE-D-15-11942	The authors have declared that no competing interests exist.	"This work was supported by the National Research Foundation of Korea grant funded by the Korea government (2014R1A5A2009242 and 2013R1A1A3009525). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11944	The authors have declared that no competing interests exist.	"This work was supported by the Major State Basic Research Development Program of China (2011CB964704), and the National Basic Research Program of China (30800231, 31170944)."
PONE-D-15-11947	The authors have declared that no competing interests exist.  	"The authors acknowledge the support of the Victorian Government's Operational Infrastructure Support Program and the Australian Government NHMRC IRIISS. ED and NAN were supported by NHMRC Fellowships (#550905 and #637300, respectively). JGZ and NAN were supported by an NHMRC Program Grant (#1016647). AW was supported by an Australian Postgraduate Award."
PONE-D-15-11958	The authors have declared that no competing interests exist.	"Funding for this work was provided by the The Korean Health Technology R&D Project, Ministry for Health & Welfare, Republic of Korea (HI14C3417), the Research Fund of Seoul St. Mary’s Hospital, The Catholic University of Korea, and The Korea Health Technology R&D Project through the Korea Health Industry Development Institute (HI14C1549)."
PONE-D-15-11986	The authors have declared that no competing interests exist.	"This work was supported in part by the Ministry of Science and Technology of China Grants (973 program; 2011CB944504 and 2014CB943203), and the National Natural Science Funds for general program (31371521 and 31230047).   "
PONE-D-15-11998	The authors have declared that no competing interests exist.	"This work was supported by the Swedish Medical Research Council, the Swedish Medical Society, the Stiftelsen Clas Groschinskys Minnesfond, the IngaBritt and Arne Lundberg Foundation, the Swedish Association Against Rheumatism, the Professor Nanna Svartz Foundation, the Scandinavian Society for Antimicrobial Chemotherapy Foundation, the Royal Society of Arts and Sciences in Gothenburg, the Wilhelm and Martina Lundgren Foundation and the University of Gothenburg. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12003	The authors have declared that no competing interests exist.	"This work was supported by the National GMO New Variety Breeding Program of the People’s Republic of China (2012ZX08011-002 and 2014ZX08011-001), and a Priority Academic Program Development of Jiangsu Higher Education Institutions (PAPD)."
PONE-D-15-12023	The authors have declared that no competing interests exist.	"This study was supported by grants from Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP) 2013/22522-9 and Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) 472613/2013-8 and 301840/2013-0. Heder F. G. Estrela was supported by Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12053	The authors have declared that no competing interests exist.	"This study was funded in part by a Morris Animal Foundation grant (#D12CA-031) to EF. Partial funding for EF was provided by an NIH ORIP K01 Mentored Research Scientist Development Award (1K01OD019912-01). JFM was supported in part by the Alvin S. and June Perlman Chair in Animal Oncology at the University of Minnesota. Donations to the Animal Cancer Care and Research Program of the University of Minnesota also helped support this project. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12057	"Karen Liby is an inventor of patents dealing with chemical synthesis of new triterpenoids and their application in treatment of cancer, as well as in inflammatory diseases, including human kidney disease (patent 6,974,801 issued 1/1/2004). She strongly adheres to the PLOS ONE policy on sharing of data and materials and has shared materials with laboratories throughout the world. She has a commercial research grant from Reata Pharmaceuticals. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This study was supported by the Centers of Biomedical Research Excellence (COBRE) P20 RR 016437 Pilot Project Grant (to KTL and PAP), Pilot Project funding (to KTL and PAP) from the Dartmouth Clinical and Translational Science Institute, under award number UL1TR001086 from the National Center for Advancing Translational Sciences (NCATS) of the National Institutes of Health (NIH), Reata Pharmaceuticals, Inc. (to KTL) and the Breast Cancer Research Foundation (to KTL). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.  "
PONE-D-15-12071	The authors have declared that no competing interests exist.	"This work was supported by grants from the National Institutes of Health, USA (R03 DA035086 to MK; R01 NS054578 and R01 NS066801 to SBM). It was also supported in part by pilot funds to JK from the University of Rochester Center for AIDS Research grant P30AI078498 (National Institutes of Health/National Institute of Allergy and Infectious Diseases). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12075	The authors have declared that no competing interests exist.	"These studies were supported by the Canadian Institutes of Health Research grants MOP-86592 and HSD-63192: http://www.cihr-irsc.gc.ca/. J.M. is supported by the Fonds de Recherche en Santé du Québec: http://www.frqs.gouv.qc.ca/. S.M.V. is supported by a Tier 1 Canada Research Chair in Host Responses to Virus Infections: http://www.chairs-chaires.gc.ca/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12085	The authors have declared that no competing interests exist.	"This work was supported in part by the Natural Science Foundation of China (no. 3066018 and 81060108), (URL: http://www.nsfc.gov.cn/). The funder supported the whole study, including study design, data collection and analysis, decision to publish, and preparation of the manuscript."
PONE-D-15-12105	The authors have declared that no competing interests exist.	"The work was sponsored by National Science and Technology Major Project (2012ZX10002003). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12110	The authors have declared that no competing interests exist.	"This work was supported by the International S & T Cooperation Program of China (ISTCP grant no. 2013DFG32360) and the National Basic Research Program of China (973 Program grant no. 2012CB518802). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12120	The authors have declared that no competing interests exist.	"Funding was provided by the National Institutes of Health Grants (R01 DE14044) to Y.C., National Institutes of Health Grants (R01 DE022549) to C.Q., and the National Science Foundation of China Research Grant (No. 81271120) to J.X. "
PONE-D-15-12152	"Yu Lu is employed by Nanjing Tianyi Bioscience Co. Ltd. There are no patents, products in development, or marketed products to declare. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials, as detailed online in the guide for authors."	"This work was supported in part by Shanghai Science & Technology Support Program (13431900401), the National Nature Science Foundation of China (81373964), Shanghai Science & Technology Innovation Action program (15140904800), the National Science & Technology Major Project of China (2014ZX09301-306-03), and the Twelfth Five-Year National Science & Technology Support Program (2012BAI29B06). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. Nanjing Tianyi Bioscience Co. Ltd, provided support in the form of salaries for authors YL, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-12204	The authors have declared that no competing interests exist.	"This study was supported by the National Natural Science Foundation of China (Grant No. 30973137 and 81270481, http://www.nsfc.gov.cn/Portal0/). Dr. YJL, KL, LY, STT, XXW, GQC, SL, HYL, and XZ have no conflicts of interest. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12215	The authors have declared that no competing interests exist.	This work was suported by the National Nature Science Foundation of China grant 81300813 awarded to YQD.
PONE-D-15-12240	The authors have declared that no competing interests exist.	"This study was supported by: National Natural Science Foundation of China (81470878) http://npd.nsfc.gov.cn/fundingProjectSearchAction.action; The Industry and Technology Bureau of Dalian (Number 2013J21DW022) http://kjjh.dlinfo.gov.cn/index.shtml; Supporting Plan for Talents in Colleges and Universities of Liaoning Province, Department of Education of Liaoning Province Number: LJQ2013099 http://www.lnein.gov.cn/kj/web/index.asp; National Natural Science Foundation of China (81272368) http://npd.nsfc.gov.cn/fundingProjectSearchAction.action; and National Natural Science Foundation of China (81471755) http://npd.nsfc.gov.cn/fundingProjectSearchAction.action. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12298	"The authors have the following interests. All authors are employed by GlaxoSmithKline. There are no patents, products in development or marketed products to declare. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials, as detailed online in the guide for authors."	"The author(s) received no specific funding for this work. GlaxoSmithKline provided support in the form of salaries for all the authors, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-12303	The authors have declared that no competing interests exist.	"Neuroligin Function in vivo: Implications for Autism and Mental Retardation awarded to CMP by the National Institute of Mental Health, Grant # R01 MH081164."
PONE-D-15-12304	The authors have declared that no competing interests exist.	"The research leading to these results was funded by the European Union Seventh Framework Programme (FP7/2007–2013) under Grant agreement No. HEALTH-F2-2009- 241778 to CF and CPS. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12305	The authors have declared that no competing interests exist.	"RWG was supported by National Institutes of Neurological Disorders and Stroke R01 NS48602 (nih.gov). BAC was supported by Washington University in St. Louis W.M. Keck Fellowship in Molecular Medicine (http://www.wmkeck.org) and National Institutes of General Medical Sciences TR32 GM108539 (nih.gov). The funders had no role in study design, data collection and analysis, decision to publish, or in preparation of the manuscript."
PONE-D-15-12307	The authors have declared that no competing interests exist.	"This work was supported by Fondo Nacional de Desarrollo Científico y Tecnológico (FONDECYT) (grant number 11110010), Chile (JG), and Comisión Nacional de Investigación Científica y Tecnológica (CONICYT) (grant number 79090027 and CARE-PFB-12/2007), Chile (EB). OC holds a CONICYT-PhD (Chile) fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12311	The authors have declared that no competing interests exist.	"This project was supported by research funds (J. L. H.) from the Vanderbilt Office of Clinical and Translational Scientist Development and CTSA award numbers UL1TR000445 and KL2TR000446 from the National Center for Advancing Translational Sciences.  This work was also supported by the Eunice Kennedy Shriver National Institute of Child Health and Human Development [Grants HD044741 (B. C. P.), HD081121 to (J. R.)].  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12315	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-12316	The authors have declared that no competing interests exist.	"TN received funding from The California State University Council on Ocean Affairs, Science & Technology in the form of a COAST Graduate Student Award for Marine Science Research. Award #: CSUCOAST-TYENIC-SDSU-AY1213. Funding institution website: http://www.calstate.edu/coast/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12330	The authors have declared that no competing interests exist.	"This study was supported by National Key Basic Research Program of China (Grant No. 2014CB542202), 863 Program (Grant No. 2012AA020502), National Natural Science Foundation of China (Grant No. 81130080), the New Century Excellent Talents in University (NCET-12-0742), and Priority Academic Program Development of Jiangsu Higher Education Institutions (PAPD)."
PONE-D-15-12361	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-12369	The authors have declared that no competing interests exist.	"This study was supported in part by the Research Grants Council of Hong Kong (HKUST 660110, 661111 and 661013), the National Basic Research Program of China (973 Program; 2013CB530900), the Theme-based Research Scheme of the University Grants Committee (T13-607/12-R), the Shenzhen Peacock Plan, funding for establishing the Guangdong Key Laboratory and the Asia Fund for Cancer Research (AFCR14SC02)."
PONE-D-15-12391	The authors have declared that no competing interests exist.	"Funding for this work came from the Hopkins Extreme Materials Institute and the US Army. The funders had no role in study design, data collection and analysis, decision to publish or preparation of the manuscript."
PONE-D-15-12433	The authors have declared that no competing interests exist.	"This work was supported by grants from the Korea Healthcare Technology R&D Project, Ministry of Health, Welfare, & Family Affairs, Republic of Korea (A092004 to WJS), from the Basic Science Research Program through the National Research Foundation of Korea funded by the Ministry of Education, Science, and Technology (2012R1A1A2040129 to SHC) and from the BIO & Medical Technology Development Program of National Research Foundation of Korea grant (MEST, 2012M3A9C6049936 to JHK). The funders had no role in study design, data collection and analysis,decision to publish, or preparation of the manuscript."
PONE-D-15-12452	Dr. J. de Bruijn is an employee of XPand Biotechnology BV and Dr. M. Dard is an employee of Straumann. The other authors have no conflicts of interest. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials.	This work was supported by Straumann in the form of research support for Dr. Baron’s laboratory at Harvard.
PONE-D-15-12466	The authors have declared that no competing interests exist.	JSPS KAKENHI Grant Number 25460557 for NK.
PONE-D-15-12491	The authors have declared that no competing interests exist.	"Funding: The study was supported by JPJS KAKENHI Grants, number 23590306 and 26460345, to M.Y. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12518	The authors have declared that no competing interests exist.	This work was supported by the Biology and Biotechnology Research Society (UK) in vivo additional studentship to YC/DA/TS.
PONE-D-15-12521	The authors have declared that no competing interests exist.	"This research was supported by The Dutch Ministry of Economic Affairs, NIAID/NIH contract HHSN272201400008C, Framework Seven Program ANTIGONE (278976), Horizon 2020 Program COMPARE (643476) of the European Union and the EU FP7 grant ADITEC (280873). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12567	The authors have declared that no competing interests exist.	"This project was partially funded by the European programme DiMI: WP3 and the Commissariat à l’énergie atomique et aux énergies alternatives (CEA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
